date,value
1990-09-01,351.73
1990-10-01,353.11
1990-11-01,354.35
1990-12-01,355.09
1991-01-01,355.66
1991-02-01,356.09
1991-03-01,356.58
1991-04-01,357.09
1991-05-01,357.01
1991-06-01,356.08
1991-07-01,354.44
1991-08-01,352.96
1991-09-01,352.83
1991-10-01,353.91
1991-11-01,355.06
1991-12-01,355.86
1992-01-01,356.43
1992-02-01,356.79
1992-03-01,357.16
1992-04-01,357.66
1992-05-01,357.74
1992-06-01,356.77
1992-07-01,355.07
1992-08-01,353.57
1992-09-01,353.5
1992-10-01,354.71
1992-11-01,355.88
1992-12-01,356.64
1993-01-01,357.09
1993-02-01,357.43
1993-03-01,357.85
1993-04-01,358.31
1993-05-01,358.26
1993-06-01,357.23
1993-07-01,355.61
1993-08-01,354.33
1993-09-01,354.36
1993-10-01,355.59
1993-11-01,356.83
1993-12-01,357.73
1994-01-01,358.35
1994-02-01,358.88
1994-03-01,359.23
1994-04-01,359.58
1994-05-01,359.61
1994-06-01,358.68
1994-07-01,357.14
1994-08-01,355.92
1994-09-01,355.89
1994-10-01,357.14
1994-11-01,358.56
1994-12-01,359.43
1995-01-01,360.03
1995-02-01,360.5
1995-03-01,360.95
1995-04-01,361.42
1995-05-01,361.33
1995-06-01,360.47
1995-07-01,358.86
1995-08-01,357.59
1995-09-01,357.92
1995-10-01,359.29
1995-11-01,360.63
1995-12-01,361.51
1996-01-01,362.01
1996-02-01,362.36
1996-03-01,362.68
1996-04-01,363.01
1996-05-01,363.15
1996-06-01,362.74
1996-07-01,361.43
1996-08-01,359.93
1996-09-01,359.57
1996-10-01,360.53
1996-11-01,361.64
1996-12-01,362.49
1997-01-01,363.14
1997-02-01,363.5
1997-03-01,363.88
1997-04-01,364.36
1997-05-01,364.36
1997-06-01,363.45
1997-07-01,361.79
1997-08-01,360.27
1997-09-01,360.27
1997-10-01,361.79
1997-11-01,363.46
1997-12-01,364.54
1998-01-01,365.04
1998-02-01,365.31
1998-03-01,365.78
1998-04-01,366.43
1998-05-01,366.7
1998-06-01,366.11
1998-07-01,364.69
1998-08-01,363.64
1998-09-01,363.88
1998-10-01,365.19
1998-11-01,366.45
1998-12-01,367.31
1999-01-01,367.96
1999-02-01,368.36
1999-03-01,368.75
1999-04-01,369.13
1999-05-01,369.04
1999-06-01,368.2
1999-07-01,366.54
1999-08-01,365.18
1999-09-01,365.3
1999-10-01,366.6
1999-11-01,367.9
1999-12-01,368.73
2000-01-01,369.26
2000-02-01,369.53
2000-03-01,369.85
2000-04-01,370.22
2000-05-01,370.11
2000-06-01,369.18
2000-07-01,367.79
2000-08-01,366.63
2000-09-01,366.57
2000-10-01,367.79
2000-11-01,369.15
2000-12-01,369.96
2001-01-01,370.53
2001-02-01,371.02
2001-03-01,371.43
2001-04-01,371.74
2001-05-01,371.64
2001-06-01,370.69
2001-07-01,369.29
2001-08-01,368.16
2001-09-01,368.21
2001-10-01,369.56
2001-11-01,370.88
2001-12-01,371.8
2002-01-01,372.35
2002-02-01,372.74
2002-03-01,373.21
2002-04-01,373.56
2002-05-01,373.54
2002-06-01,372.67
2002-07-01,371.24
2002-08-01,370.2
2002-09-01,370.52
2002-10-01,371.79
2002-11-01,373.12
2002-12-01,374.09
2003-01-01,374.77
2003-02-01,375.29
2003-03-01,375.74
2003-04-01,376.21
2003-05-01,376.34
2003-06-01,375.5
2003-07-01,373.98
2003-08-01,372.76
2003-09-01,372.93
2003-10-01,374.21
2003-11-01,375.5
2003-12-01,376.36
2004-01-01,377.04
2004-02-01,377.56
2004-03-01,377.99
2004-04-01,378.31
2004-05-01,378.24
2004-06-01,377.36
2004-07-01,375.82
2004-08-01,374.35
2004-09-01,374.24
2004-10-01,375.57
2004-11-01,377.04
2004-12-01,378.01
2005-01-01,378.58
2005-02-01,379.04
2005-03-01,379.66
2005-04-01,380.15
2005-05-01,380.27
2005-06-01,379.45
2005-07-01,377.79
2005-08-01,376.57
2005-09-01,376.61
2005-10-01,377.91
2005-11-01,379.36
2005-12-01,380.35
2006-01-01,381.15
2006-02-01,381.78
2006-03-01,382.16
2006-04-01,382.5
2006-05-01,382.46
2006-06-01,381.59
2006-07-01,379.89
2006-08-01,378.3
2006-09-01,378.43
2006-10-01,379.88
2006-11-01,381.23
2006-12-01,382.19
2007-01-01,382.83
2007-02-01,383.34
2007-03-01,383.81
2007-04-01,384.07
2007-05-01,383.91
2007-06-01,383.05
2007-07-01,381.35
2007-08-01,380.09
2007-09-01,380.48
2007-10-01,381.89
2007-11-01,383.23
2007-12-01,384.23
2008-01-01,384.99
2008-02-01,385.51
2008-03-01,385.92
2008-04-01,386.31
2008-05-01,386.26
2008-06-01,385.34
2008-07-01,383.86
2008-08-01,382.54
2008-09-01,382.33
2008-10-01,383.45
2008-11-01,384.95
2008-12-01,386.04
2009-01-01,386.8
2009-02-01,387.26
2009-03-01,387.49
2009-04-01,387.76
2009-05-01,387.73
2009-06-01,386.74
2009-07-01,384.81
2009-08-01,383.44
2009-09-01,383.74
2009-10-01,385.3
2009-11-01,386.75
2009-12-01,387.64
2010-01-01,388.42
2010-02-01,389.14
2010-03-01,389.48
2010-04-01,389.79
2010-05-01,389.76
2010-06-01,388.82
2010-07-01,387.17
2010-08-01,386.05
2010-09-01,386.52
2010-10-01,388.07
2010-11-01,389.44
2010-12-01,390.18
2011-01-01,390.75
2011-02-01,391.17
2011-03-01,391.49
2011-04-01,391.87
2011-05-01,391.9
2011-06-01,390.95
2011-07-01,389.01
2011-08-01,387.68
2011-09-01,388.09
2011-10-01,389.66
2011-11-01,391.04
2011-12-01,391.87
2012-01-01,392.44
2012-02-01,393.03
2012-03-01,393.55
2012-04-01,393.81
2012-05-01,393.69
2012-06-01,392.65
2012-07-01,390.8
2012-08-01,389.69
2012-09-01,390.35
2012-10-01,391.96
2012-11-01,393.37
2012-12-01,394.2
2013-01-01,394.88
2013-02-01,395.5
2013-03-01,396.09
2013-04-01,396.54
2013-05-01,396.55
2013-06-01,395.75
2013-07-01,394.27
2013-08-01,393.04
2013-09-01,393.02
2013-10-01,394.31
2013-11-01,395.76
2013-12-01,396.66
2014-01-01,397.29
2014-02-01,397.75
2014-03-01,398.05
2014-04-01,398.41
2014-05-01,398.48
2014-06-01,397.51
2014-07-01,395.92
2014-08-01,394.81
2014-09-01,394.89
2014-10-01,396.15
2014-11-01,397.62
2014-12-01,398.6
2015-01-01,399.32
2015-02-01,399.88
2015-03-01,400.33
2015-04-01,400.73
2015-05-01,400.68
2015-06-01,399.83
2015-07-01,398.16
2015-08-01,396.84
2015-09-01,397.11
2015-10-01,398.57
2015-11-01,400.13
2015-12-01,401.42
2016-01-01,402.4
2016-02-01,403.03
2016-03-01,403.62
2016-04-01,404.14
2016-05-01,404.21
2016-06-01,403.42
2016-07-01,401.89
2016-08-01,400.58
2016-09-01,400.75
2016-10-01,402.19
2016-11-01,403.55
2016-12-01,404.45
2017-01-01,405.1
2017-02-01,405.69
2017-03-01,406.1
2017-04-01,406.39
2017-05-01,406.43
2017-06-01,405.64
2017-07-01,403.89
2017-08-01,402.36
2017-09-01,402.44
2017-10-01,403.94
2017-11-01,405.48
2017-12-01,406.53
2018-01-01,407.33
2018-02-01,408.01
2018-03-01,408.54
2018-04-01,408.85
2018-05-01,408.75
2018-06-01,407.86
2018-07-01,406.25
2018-08-01,404.87
2018-09-01,404.94
2018-10-01,406.42
2018-11-01,407.9
2018-12-01,408.96
2019-01-01,409.69
2019-02-01,410.12
2019-03-01,410.67
2019-04-01,411.11
2019-05-01,411.1
2019-06-01,410.29
2019-07-01,408.66
2019-08-01,407.43
2019-09-01,407.71
2019-10-01,409.23
2019-11-01,410.67
2019-12-01,411.54
2020-01-01,412.19
2020-02-01,412.75
2020-03-01,413.27
2020-04-01,413.67
2020-05-01,413.59
2020-06-01,412.64
2020-07-01,410.92
2020-08-01,409.5
